序号,平台,博主名字,视频链接,状态,文件路径,文件大小字节,下载来源,错误
1,TikTok,Emily,https://www.tiktok.com/@emily.112056/video/7613782607838481666,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/表格50条/TikTok/01_TikTok_Emily_7613782607838481666_Like a reflex _ dc_ @meigamind #dancechallenge #da.mp4,1260412,already downloaded,
2,TikTok,offstagebygrv,https://www.tiktok.com/@offstagebygrv/video/7595680639655890206,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/表格50条/TikTok/02_TikTok_offstagebygrv_7595680639655890206_@rivernovin the earth bending goes crazy 🔥 #Offsta.mp4,7741394,already downloaded,
3,TikTok,Markell Washington,https://www.tiktok.com/@markellwashington1/video/7600982671245856013,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/表格50条/TikTok/03_TikTok_Markell Washington_7600982671245856013_And I’m going to do it every time I hear the song.mp4,7980902,already downloaded,
4,TikTok,mari,https://www.tiktok.com/@5zmartins/video/7633432898351287572,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/表格50条/TikTok/04_TikTok_mari_7633432898351287572_cortis 'redred' dance practice #fy #cortis #coer #.mp4,1372560,already downloaded,
5,TikTok,JeanieRn,https://www.tiktok.com/@jeaniern/video/7602133947459374367,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/表格50条/TikTok/05_TikTok_JeanieRn_7602133947459374367_#rocksteady #dance #motherdaughter #megantheestall.mp4,1292476,already downloaded,
6,TikTok,ryan 😜,https://www.tiktok.com/@e_ryan10/video/7644257360269069589,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/表格50条/TikTok/06_TikTok_ryan 😜_7644257360269069589_#reels #viral #dance #fyppppppppppppppppppppppp #f.mp4,1519924,already downloaded,
7,TikTok,F1girls,https://www.tiktok.com/@f1girls12/video/7602155390553443614,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/表格50条/TikTok/07_TikTok_F1girls_7602155390553443614_I know I usually post f1 content but this dance is.mp4,5582773,already downloaded,
8,TikTok,Lydia Farnsworth,https://www.tiktok.com/@lydiajane186/video/7643099039763860767,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/表格50条/TikTok/08_TikTok_Lydia Farnsworth_7643099039763860767_woww @lynnexshya16 #deepseadivers #dancefortsopeop.mp4,2318445,already downloaded,
9,TikTok,trio maravilha 🕺,https://www.tiktok.com/@triomaravilha010/video/7634285108861701409,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/表格50条/TikTok/09_TikTok_trio maravilha 🕺_7634285108861701409_#passinhodojamal🇧🇷 #fyp.mp4,3637076,already downloaded,
10,TikTok,Layla,https://www.tiktok.com/@layla_.mckenzie/video/7593389977199791390,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/表格50条/TikTok/10_TikTok_Layla_7593389977199791390_1st place Flow dance team hiphop #hiphopdance #gro.mp4,5363550,already downloaded,
11,TikTok,ignite⭐️,https://www.tiktok.com/@ignite.dancegroup/video/7617187902694509857,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/表格50条/TikTok/11_TikTok_ignite⭐️_7617187902694509857_@sophia🪽 @L.J🧚‍♀️🧞‍♀️ @melania dc_@Hanna🪽 #fypp#go.mp4,1500783,already downloaded,
12,TikTok,SingSing,https://www.tiktok.com/@singsingaduck/video/7608928503005777173,成功,"/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/表格50条/TikTok/12_TikTok_SingSing_7608928503005777173_NO HANDS dc_ @rivernovin dance tutorial, slowed, m.mp4",1640340,already downloaded,
13,TikTok,⠀ ⠀ ⠀ ⠀ ⠀ ⠀,https://www.tiktok.com/@guisox/video/7627666533770120466,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/表格50条/TikTok/13_TikTok_⠀ ⠀ ⠀ ⠀ ⠀ ⠀_7627666533770120466_#passinhodojamal #fyp @Levy.mp4,2752758,already downloaded,
14,TikTok,Sorana,https://www.tiktok.com/@sorana.mra/video/7649123054508870944,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/表格50条/TikTok/14_TikTok_Sorana_7649123054508870944_to the left to the right🤪 @Paula @mia #dancer #dan.mp4,1462359,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40sorana.mra%2Fvideo%2F7649123054508870944,
15,TikTok,Cadel,https://www.tiktok.com/@cadel_06/video/7607814547319131400,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/表格50条/TikTok/15_TikTok_Cadel_7607814547319131400_NO HANDS DANCE 🤷‍♂️ dc_ @rivernovin.mp4,2739492,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40cadel_06%2Fvideo%2F7607814547319131400,
16,Instagram Reels,ranzkyle,https://www.instagram.com/reel/DS736U6E0Cq/,失败,,,,Instagram embed did not expose video_url
17,TikTok,valentino,https://www.tiktok.com/@valinspam/video/7620142882883767565,成功,/Users/cathug/Documents/ai舞蹈生成器/模版收集/代表视频/表格50条/TikTok/17_TikTok_valentino_7620142882883767565_this brazilian dance is too addicting🔥🔥🇧🇷 #fyp #br.mp4,1964161,https://www.tikwm.com/api/?url=https%3A%2F%2Fwww.tiktok.com%2F%40valinspam%2Fvideo%2F7620142882883767565,
